bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
5,2021-08-07T12:10:00,36369.8984,2021-08-07T12:35:00,36377.1992,aligned,bullish,HH_HL,0.753,763.72,trend_aligned,buy,long_bias,trailed,35355.5,BANKNIFTY,38398.695199999995,5m
3303,2021-08-07T15:15:00,35711.25,2021-10-18T09:15:00,39759.3008,aligned,bearish,LH_LL,-0.4,-1619.22,trend_aligned,sell,short_bias,stopped,39759.3008,BANKNIFTY,27615.148400000005,5m
303,2021-10-18T09:50:00,39614.6016,2021-10-22T09:45:00,40215.3516,aligned,bullish,HH_HL,1.301,567.41,trend_aligned,buy,long_bias,trailed,39178.4492,BANKNIFTY,40486.9064,5m
57,2021-10-22T11:25:00,40373.75,2021-10-25T09:50:00,40696.0508,aligned,bullish,HH_HL,1.34,292.72,trend_aligned,buy,long_bias,trailed,40155.3516,BANKNIFTY,40810.5468,5m
19,2021-10-25T14:45:00,41166.8984,2021-10-26T10:00:00,41260.8516,aligned,bullish,HH_HL,1.026,139.69,trend_aligned,buy,long_bias,trailed,41030.75,BANKNIFTY,41439.195199999995,5m
3,2021-10-26T10:25:00,41141.0508,2021-10-26T10:40:00,41010.0508,aligned,bullish,HH_HL,-0.4,-52.4,trend_aligned,buy,long_bias,stopped,41010.0508,BANKNIFTY,41403.0508,5m
2,2021-10-26T11:10:00,40999.1016,2021-10-26T11:20:00,40867.8984,aligned,bullish,HH_HL,-0.4,-52.48,trend_aligned,buy,long_bias,stopped,40867.8984,BANKNIFTY,41261.50800000001,5m
6,2021-10-26T11:50:00,40931.3516,2021-10-26T12:20:00,41134.5508,aligned,bullish,HH_HL,1.545,157.93,trend_aligned,buy,long_bias,trailed,40829.1484,BANKNIFTY,41135.75800000001,5m
3,2021-10-26T12:50:00,40992.75,2021-10-26T13:05:00,41090.5,aligned,bullish,HH_HL,0.989,161.8,trend_aligned,buy,long_bias,trailed,40829.1484,BANKNIFTY,41319.9532,5m
72,2021-10-26T14:35:00,41233.3516,2021-10-27T14:15:00,41054.3008,aligned,bullish,HH_HL,-0.4,-71.62,trend_aligned,buy,long_bias,stopped,41054.3008,BANKNIFTY,41591.45320000001,5m
3,2021-11-13T11:15:00,39037.0508,2021-11-13T11:30:00,39037.0508,aligned,bullish,HH_HL,0.75,954.75,trend_aligned,buy,long_bias,trailed,37764.0508,BANKNIFTY,41583.0508,5m
3,2021-11-13T12:15:00,39267.3008,2021-11-13T12:40:00,39867.8008,aligned,bullish,HH_HL,0.91,1367.64,trend_aligned,buy,long_bias,trailed,37764.0508,BANKNIFTY,42273.8008,5m
